번호,정책번호,분류,정책명,내용길이,정책내용,요약,input,output
137,20240417005400200007,일자리,2024년 청년 자격증 취득 지원,419,"어학, 한국사, 국가기술자격 응시료 1인 2회(최대 20만) 지원",자격증 취득을 통해 청년들의 취업 스펙을 높일 수 있도록 비용 지원,"정책명: 2024년 청년 자격증 취득 지원
내용: 어학, 한국사, 국가기술자격 응시료 1인 2회(최대 20만) 지원",자격증 취득을 통해 청년들의 취업 스펙을 높일 수 있도록 비용 지원
138,20250220005400210475,일자리,대구시 국가기술자격시험 응시료 지원,712,미취업 청년 대상 국가기술자격 응시료 연 3회 최대 10만원 지원,대구 거주 청년 구직자의 경제적 부담 완화를 위한 선착순 응시료 보조,"정책명: 대구시 국가기술자격시험 응시료 지원
내용: 미취업 청년 대상 국가기술자격 응시료 연 3회 최대 10만원 지원",대구 거주 청년 구직자의 경제적 부담 완화를 위한 선착순 응시료 보조
139,20250307005400210601,참여권리,부천시 청년정책협의체 위원 모집,404,"정책 제안, 분과 활동 및 성과공유회 참여, 활동비 지급",부천 청년들이 직접 정책 결정 과정에 참여하는 대표 소통 기구 운영,"정책명: 부천시 청년정책협의체 위원 모집
내용: 정책 제안, 분과 활동 및 성과공유회 참여, 활동비 지급",부천 청년들이 직접 정책 결정 과정에 참여하는 대표 소통 기구 운영
140,20240129005400200022,일자리,광주청년 일드림 업,342,"창업 사업화 자금 1,500만원 지원 및 법률/회계 전문 교육",광주 지역 청년 창업 기업의 성장 지원을 위한 자금 및 컨설팅 제공,"정책명: 광주청년 일드림 업
내용: 창업 사업화 자금 1,500만원 지원 및 법률/회계 전문 교육",광주 지역 청년 창업 기업의 성장 지원을 위한 자금 및 컨설팅 제공
141,20240322005400200002,"일자리, 주거, 교육",익산 청년 UP 프로젝트,234,"구직 역량 강화, 이미지메이킹, 심리상담 등 패키지 지원",익산 청년들의 구직 능력 향상과 심리 안정을 위한 종합 성장 프로그램,"정책명: 익산 청년 UP 프로젝트
내용: 구직 역량 강화, 이미지메이킹, 심리상담 등 패키지 지원",익산 청년들의 구직 능력 향상과 심리 안정을 위한 종합 성장 프로그램
142,20240926005400100002,교육,방과후학교 자유 수강권 지원,235,저소득층 학생 대상 방과후 프로그램 수강료 연 60만원 내외 지원,경제적 여건이 어려운 학생 청소년들에게 교육 기회를 평등하게 제공,"정책명: 방과후학교 자유 수강권 지원
내용: 저소득층 학생 대상 방과후 프로그램 수강료 연 60만원 내외 지원",경제적 여건이 어려운 학생 청소년들에게 교육 기회를 평등하게 제공
143,20240527005400200015,복지문호,[청년 고민상담소] 마인드헬스,194,심리적 어려움 해소를 위한 소규모 집단 상담 및 힐링 프로그램,수원 청년들의 마음 건강 관리를 위해 주기적으로 운영되는 상담소,"정책명: [청년 고민상담소] 마인드헬스
내용: 심리적 어려움 해소를 위한 소규모 집단 상담 및 힐링 프로그램",수원 청년들의 마음 건강 관리를 위해 주기적으로 운영되는 상담소
144,20240717005400200037,"교육, 일자리",슬기로운 청년생활 역량강화 모집,277,"자세교정, 요가, 회화, 전세사기 예방 등 다양한 생활 역량 교육","수원 청년들의 건강, 외국어, 주거 상식 등 생활 밀착형 역량 강화 지원","정책명: 슬기로운 청년생활 역량강화 모집
내용: 자세교정, 요가, 회화, 전세사기 예방 등 다양한 생활 역량 교육","수원 청년들의 건강, 외국어, 주거 상식 등 생활 밀착형 역량 강화 지원"
145,20240723005400200041,복지문화,울산 북구 청소년한부모 자립지원,248,"아동양육비(월 35~40만), 자립수당, 검정고시 학습비 지원",어린 나이에 부모가 된 청소년들이 자립할 수 있도록 양육비와 학업 보조,"정책명: 울산 북구 청소년한부모 자립지원
내용: 아동양육비(월 35~40만), 자립수당, 검정고시 학습비 지원",어린 나이에 부모가 된 청소년들이 자립할 수 있도록 양육비와 학업 보조
146,20250212005400110435,일자리,NCS 기반 능력중심 채용,212,공공기관/민간 대상 블라인드 채용 가이드라인 및 컨설팅 지원,직무 능력 중심의 공정한 채용 문화를 확산시키기 위한 정부 차원의 지원,"정책명: NCS 기반 능력중심 채용
내용: 공공기관/민간 대상 블라인드 채용 가이드라인 및 컨설팅 지원",직무 능력 중심의 공정한 채용 문화를 확산시키기 위한 정부 차원의 지원
147,20241015005400200005,"일자리, 교육",청년 공익활동가 아카데미 '체인지 파인더',412,"사회 문제 해결 방식 교육, 캠페인 기획 및 네트워킹 활동",공익 활동에 관심 있는 청년들이 직접 사회 의제를 발굴하고 해결해보는 교육,"정책명: 청년 공익활동가 아카데미 '체인지 파인더'
내용: 사회 문제 해결 방식 교육, 캠페인 기획 및 네트워킹 활동",공익 활동에 관심 있는 청년들이 직접 사회 의제를 발굴하고 해결해보는 교육
148,20240507005400200012,일자리,울산 톡톡팩토리 입주기업 모집,789,제조/신산업 창업 공간 무상 임대 및 마케팅/멘토링 지원,울산 북구·동구 내 청년 창업가들에게 전용 제조 공간과 성장을 위한 컨설팅 제공,"정책명: 울산 톡톡팩토리 입주기업 모집
내용: 제조/신산업 창업 공간 무상 임대 및 마케팅/멘토링 지원",울산 북구·동구 내 청년 창업가들에게 전용 제조 공간과 성장을 위한 컨설팅 제공
149,20240717005400200027,일자리,울산 남구 청년인턴 일자리사업,219,"청년에게 직무 경험 제공, 기업에 인건비 80% 지원",지역 중소기업과 청년을 매칭하여 인건비를 지원하고 실무 경험 기회 부여,"정책명: 울산 남구 청년인턴 일자리사업
내용: 청년에게 직무 경험 제공, 기업에 인건비 80% 지원",지역 중소기업과 청년을 매칭하여 인건비를 지원하고 실무 경험 기회 부여
150,20250618005400211022,일자리,울산 남구 청년도전 지원사업,315,구직단념청년 대상 맞춤 프로그램 및 구직지원금 최대 350만 지급,장기 미취업 청년의 구직 의욕을 일깨우고 취업 역량 강화 및 수당 지원,"정책명: 울산 남구 청년도전 지원사업
내용: 구직단념청년 대상 맞춤 프로그램 및 구직지원금 최대 350만 지급",장기 미취업 청년의 구직 의욕을 일깨우고 취업 역량 강화 및 수당 지원
151,20240926005400200004,주거,고흥 청년 디딤돌 주거안정 지원,176,월 임대료 최대 20만원 지원 (연 최대 240만 / 24개월 한도),고흥군 거주 청년들에게 최장 2년간 월세를 지원하여 주거비 부담 경감,"정책명: 고흥 청년 디딤돌 주거안정 지원
내용: 월 임대료 최대 20만원 지원 (연 최대 240만 / 24개월 한도)",고흥군 거주 청년들에게 최장 2년간 월세를 지원하여 주거비 부담 경감
152,20240927005400100001,참여권리,가정양육수당 지원사업,198,24개월~86개월 미만 아동 대상 월 10만원 지급 (장애/농어촌 차등),가정 내에서 아동을 양육하는 부모에게 연령별 양육 수당 지원,"정책명: 가정양육수당 지원사업
내용: 24개월~86개월 미만 아동 대상 월 10만원 지급 (장애/농어촌 차등)",가정 내에서 아동을 양육하는 부모에게 연령별 양육 수당 지원
153,20240731005400200041,복지문화,울산 니트청년 지원사업,251,"니트청년 발굴, 은둔 원인별 밀착 지원 및 자조모임 운영",사회와 단절된 무업(니트) 청년들의 사회 복귀와 관계 형성을 돕는 프로그램,"정책명: 울산 니트청년 지원사업
내용: 니트청년 발굴, 은둔 원인별 밀착 지원 및 자조모임 운영",사회와 단절된 무업(니트) 청년들의 사회 복귀와 관계 형성을 돕는 프로그램
154,20241018005400200011,기타,부산시 머물자리론 (대출이자지원),405,"전세자금 대출 최대 1억원 한도, 소득별 이자 차등 지원",부산 거주 청년의 전세 대출 이자를 지원하여 주거 안정 도모,"정책명: 부산시 머물자리론 (대출이자지원)
내용: 전세자금 대출 최대 1억원 한도, 소득별 이자 차등 지원",부산 거주 청년의 전세 대출 이자를 지원하여 주거 안정 도모
155,20240520005400200007,일자리,여수형 청년 맞춤형 인턴 사업,417,"공공기관/기업 직무 경험 제공, 월 약 202만원 보수(세전) 지급",여수 청년들에게 한 달간의 실무 경험과 일급 형태의 급여 지원,"정책명: 여수형 청년 맞춤형 인턴 사업
내용: 공공기관/기업 직무 경험 제공, 월 약 202만원 보수(세전) 지급",여수 청년들에게 한 달간의 실무 경험과 일급 형태의 급여 지원
156,20241025005400200013,"일자리, 교육",장애인 평생학습 매니저 양성 과정,226,장애인 평생교육 이해 및 학습 상담 매니저 양성 교육 (강북구),장애인 교육 지원을 위한 전문 인력을 양성하여 보편적 학습 환경 조성,"정책명: 장애인 평생학습 매니저 양성 과정
내용: 장애인 평생교육 이해 및 학습 상담 매니저 양성 교육 (강북구)",장애인 교육 지원을 위한 전문 인력을 양성하여 보편적 학습 환경 조성
157,20241107005400200007,교육,Microsoft Copilot 세미나,213,"경기 AI캠퍼스 주관, 생성형 AI 코파일럿 활용법 오프라인 특강",최신 AI 기술인 코파일럿의 실무 활용법을 무료로 배울 수 있는 세미나,"정책명: Microsoft Copilot 세미나
내용: 경기 AI캠퍼스 주관, 생성형 AI 코파일럿 활용법 오프라인 특강",최신 AI 기술인 코파일럿의 실무 활용법을 무료로 배울 수 있는 세미나
158,20250220005400210489,교육,소프트웨어(SW) 미래채움 사업,223,SW 전문강사 양성(경단녀/청년) 및 초중고생 방문 교육 운영,충북 지역 내 SW 교육 격차 해소와 전문 강사 일자리 창출 지원,"정책명: 소프트웨어(SW) 미래채움 사업
내용: SW 전문강사 양성(경단녀/청년) 및 초중고생 방문 교육 운영",충북 지역 내 SW 교육 격차 해소와 전문 강사 일자리 창출 지원
159,20250109005400210101,일자리,부산진구 비상스페이스 창업공간,170,상상마당 내 입주공간 무상 제공 및 VC 성장 프로그램 연계,부산 소재 초기 창업 기업에게 전용 업무 공간과 투자 유치 지원,"정책명: 부산진구 비상스페이스 창업공간
내용: 상상마당 내 입주공간 무상 제공 및 VC 성장 프로그램 연계",부산 소재 초기 창업 기업에게 전용 업무 공간과 투자 유치 지원
160,20240417005400200024,"일자리, 교육",제주 귀농귀촌 청년농업인 교육,284,매주 수요일 귀농귀촌 정보 제공 및 전문 영농 교육 실시,제주로 이주했거나 이주를 희망하는 청년들의 안정적인 영농 정착 지원,"정책명: 제주 귀농귀촌 청년농업인 교육
내용: 매주 수요일 귀농귀촌 정보 제공 및 전문 영농 교육 실시",제주로 이주했거나 이주를 희망하는 청년들의 안정적인 영농 정착 지원
161,20241007005400200004,주거,인구증가 정책지원 (전입 지원금),318,"세대주 5만원, 전입 학생 최대 100만원 이상 생활용품비 지원",타 시군에서 전입한 학생과 주민들에게 지역화폐 및 정착금을 지원,"정책명: 인구증가 정책지원 (전입 지원금)
내용: 세대주 5만원, 전입 학생 최대 100만원 이상 생활용품비 지원",타 시군에서 전입한 학생과 주민들에게 지역화폐 및 정착금을 지원
162,20240125005400200003,일자리,청년창업더하기 지원사업,334,"시제품 개발, 시설비 등 사업비 1인당 1,800만원(보조 60%) 지원",창업 청년에게 직접적인 사업화 자금과 컨설팅을 패키지로 제공,"정책명: 청년창업더하기 지원사업
내용: 시제품 개발, 시설비 등 사업비 1인당 1,800만원(보조 60%) 지원",창업 청년에게 직접적인 사업화 자금과 컨설팅을 패키지로 제공
163,20250519005400210856,복지문화,자립준비청년 자립수당 지원,696,보호종료 5년 이내 청년 대상 매월 50만원 지급 (최대 60개월),아동복지시설에서 독립한 청년의 기초 생활을 위해 5년간 수당 지급,"정책명: 자립준비청년 자립수당 지원
내용: 보호종료 5년 이내 청년 대상 매월 50만원 지급 (최대 60개월)",아동복지시설에서 독립한 청년의 기초 생활을 위해 5년간 수당 지급
164,20240507005400200011,일자리,부안군 예비 창업자 모집,301,창업교육(70시간) 및 초기사업비 최대 1천만원 지원,부안의 생활인구 활성화를 위해 창의적인 창업 아이템을 가진 청년 지원,"정책명: 부안군 예비 창업자 모집
내용: 창업교육(70시간) 및 초기사업비 최대 1천만원 지원",부안의 생활인구 활성화를 위해 창의적인 창업 아이템을 가진 청년 지원
165,20240118005400200017,복지문화,청년마음건강지원사업(김해시),792,1:1 전문 심리상담 10회 제공 (본인부담금 10% 내외),정서적 어려움을 겪는 청년에게 맞춤형 전문 상담 서비스를 바우처로 지원,"정책명: 청년마음건강지원사업(김해시)
내용: 1:1 전문 심리상담 10회 제공 (본인부담금 10% 내외)",정서적 어려움을 겪는 청년에게 맞춤형 전문 상담 서비스를 바우처로 지원
166,20250908005400211677,복지문화,난임 부부 시술비 지원,340,체외·인공수정 시술비 본인부담금 및 비급여 항목 지원 (최대 25회),세종시 거주 난임 부부에게 시술비용을 지원하여 출산 부담 경감,"정책명: 난임 부부 시술비 지원
내용: 체외·인공수정 시술비 본인부담금 및 비급여 항목 지원 (최대 25회)",세종시 거주 난임 부부에게 시술비용을 지원하여 출산 부담 경감
167,20240514005400200014,복지문화,5월 마음소풍-대면 심리상담,158,고양시 청년 대상 전문 상담사와의 1:1 심화 대면 상담 지원,일회성 상담을 넘어 심층적인 내면 문제를 다루는 대면 상담 프로그램,"정책명: 5월 마음소풍-대면 심리상담
내용: 고양시 청년 대상 전문 상담사와의 1:1 심화 대면 상담 지원",일회성 상담을 넘어 심층적인 내면 문제를 다루는 대면 상담 프로그램
168,20250717005400211347,참여권리,자치경찰 서포터즈,374,"정책 홍보 영상 제작, 아이디어 발굴 등 월 정기 활동 및 지원비",울산 지역 대학생들이 직접 치안 정책을 홍보하고 콘텐츠를 제작하는 활동,"정책명: 자치경찰 서포터즈
내용: 정책 홍보 영상 제작, 아이디어 발굴 등 월 정기 활동 및 지원비",울산 지역 대학생들이 직접 치안 정책을 홍보하고 콘텐츠를 제작하는 활동
169,20250220005400210491,교육,충북 메타버스지원센터 운영,197,XR·메타버스 시설·장비 활용 지원 및 전문 교육 실시,가상현실 콘텐츠 개발을 희망하는 청년과 기업에게 인프라와 교육 제공,"정책명: 충북 메타버스지원센터 운영
내용: XR·메타버스 시설·장비 활용 지원 및 전문 교육 실시",가상현실 콘텐츠 개발을 희망하는 청년과 기업에게 인프라와 교육 제공
170,20240115005400100002,일자리,창업중심대학 초기 창업기업 모집,376,사업화 자금 최대 1억원 및 대학 인프라 활용 성장 프로그램 지원,대학의 전문 역량을 기반으로 우수 창업 아이템의 사업화를 전방위 지원,"정책명: 창업중심대학 초기 창업기업 모집
내용: 사업화 자금 최대 1억원 및 대학 인프라 활용 성장 프로그램 지원",대학의 전문 역량을 기반으로 우수 창업 아이템의 사업화를 전방위 지원
171,20240507005400200042,복지문화,남해군 청년씨앗통장 참여자 모집,337,본인 20만+군 20만 매칭 적립 (1년 만기 시 480만+이자),근로 청년의 자산 형성을 돕기 위해 저축액의 100%를 추가 적립해주는 통장,"정책명: 남해군 청년씨앗통장 참여자 모집
내용: 본인 20만+군 20만 매칭 적립 (1년 만기 시 480만+이자)",근로 청년의 자산 형성을 돕기 위해 저축액의 100%를 추가 적립해주는 통장
172,20250507005400210785,일자리,울산청년 구직지원금,324,최대 180만원(월 30만x6개월) 지원 및 취업성공금 30만원 지원,울산 미취업 청년의 구직 활동비를 클린카드 포인트 형태로 지원,"정책명: 울산청년 구직지원금
내용: 최대 180만원(월 30만x6개월) 지원 및 취업성공금 30만원 지원",울산 미취업 청년의 구직 활동비를 클린카드 포인트 형태로 지원
173,20240402005400200001,일자리,청년 취업준비 쿠폰 지원사업,354,월 50만원씩 6개월 지원 및 취업성공금 50만원 별도 지급,"교육비, 식비 등 구직 활동 전반에 필요한 비용을 포인트로 지원","정책명: 청년 취업준비 쿠폰 지원사업
내용: 월 50만원씩 6개월 지원 및 취업성공금 50만원 별도 지급","교육비, 식비 등 구직 활동 전반에 필요한 비용을 포인트로 지원"
174,20250715005400111240,교육,ICT 이노베이션스퀘어 지원,284,"AI, 블록체인, 코딩 분야 전문 교육 및 채용 연계 프로젝트 운영",울산 지역 청년들을 미래 신산업 분야 전문 인력으로 양성하는 국비 교육,"정책명: ICT 이노베이션스퀘어 지원
내용: AI, 블록체인, 코딩 분야 전문 교육 및 채용 연계 프로젝트 운영",울산 지역 청년들을 미래 신산업 분야 전문 인력으로 양성하는 국비 교육
175,20240117005400200002,일자리,금호 이웃사촌마을 창업 지원,716,"창업자금 최대 7천만, 이전기업 최대 2억 지원 (주소이전 필수)",영천 금호읍으로 이전하거나 창업하는 기업/청년에게 파격적인 자금 지원,"정책명: 금호 이웃사촌마을 창업 지원
내용: 창업자금 최대 7천만, 이전기업 최대 2억 지원 (주소이전 필수)",영천 금호읍으로 이전하거나 창업하는 기업/청년에게 파격적인 자금 지원
176,20240927005400200011,복지문화,[청년이음전주] 고민 상담주간,226,"취업스킬, 주거복지, 생활법률 등 분야별 전문가 1:1 상담",전주 청년들이 실생활에서 겪는 법률 및 주거 고민을 전문가가 무료 상담,"정책명: [청년이음전주] 고민 상담주간
내용: 취업스킬, 주거복지, 생활법률 등 분야별 전문가 1:1 상담",전주 청년들이 실생활에서 겪는 법률 및 주거 고민을 전문가가 무료 상담
177,20240605005400200008,"교육, 일자리",NHN 아카데미 (경남 부트캠프),256,6개월간 IT 실무 교육 무료 제공 및 NHN 계열사 채용 연계,대기업 NHN의 커리큘럼으로 실전 개발자를 양성하고 취업까지 지원,"정책명: NHN 아카데미 (경남 부트캠프)
내용: 6개월간 IT 실무 교육 무료 제공 및 NHN 계열사 채용 연계",대기업 NHN의 커리큘럼으로 실전 개발자를 양성하고 취업까지 지원
178,20240422005400200039,일자리,병원행정&홍보마케터 양성,265,병원 원무 행정 실무 교육 및 마케팅 자격증 취득 지원,의료 서비스 분야 취업을 희망하는 울산 청년 대상 직무 특화 교육,"정책명: 병원행정&홍보마케터 양성
내용: 병원 원무 행정 실무 교육 및 마케팅 자격증 취득 지원",의료 서비스 분야 취업을 희망하는 울산 청년 대상 직무 특화 교육
179,20240731005400200048,복지문화,울산 K팝 사관학교 설치·운영,356,"연습실, 녹음실 구축 및 연습생 발굴 경연대회, 교육 프로그램 운영",울산 지역의 잠재력 있는 청소년/청년 예술가 양성을 위한 인프라 지원,"정책명: 울산 K팝 사관학교 설치·운영
내용: 연습실, 녹음실 구축 및 연습생 발굴 경연대회, 교육 프로그램 운영",울산 지역의 잠재력 있는 청소년/청년 예술가 양성을 위한 인프라 지원
180,20240626005400200017,복지문화,경남 고성에서 한 달 살아보기,1556,최소 5박 이상 숙박비(일 5만) 및 체험비(최대 10만) 지원,고성군에 머물며 지역 문화를 체험하고 SNS에 홍보하는 단기 체류 지원,"정책명: 경남 고성에서 한 달 살아보기
내용: 최소 5박 이상 숙박비(일 5만) 및 체험비(최대 10만) 지원",고성군에 머물며 지역 문화를 체험하고 SNS에 홍보하는 단기 체류 지원
181,20240422005400200081,"일자리, 교육",청년층 직업지도(집단상담),184,4일간 진행되는 취업 의욕 고취 및 구직 기술 향상 프로그램,취업에 자신감이 부족한 청년들에게 집중적인 진로 설계 및 상담 제공,"정책명: 청년층 직업지도(집단상담)
내용: 4일간 진행되는 취업 의욕 고취 및 구직 기술 향상 프로그램",취업에 자신감이 부족한 청년들에게 집중적인 진로 설계 및 상담 제공
182,20240924005400200003,주거,구미 청년 전월세보증금 이자 지원,1444,"대출 잔액의 1% 지원 (최대 80만원, 생애 1회)",구미 거주 미혼 청년 세대주의 전세대출 이자 상환 부담을 실비 지원,"정책명: 구미 청년 전월세보증금 이자 지원
내용: 대출 잔액의 1% 지원 (최대 80만원, 생애 1회)",구미 거주 미혼 청년 세대주의 전세대출 이자 상환 부담을 실비 지원
183,20240801005400200005,복지문화,청년 마인드 톡톡 캠페인,309,"스트레스 측정, 정신건강 선별검사 및 1:1 상담 (용인)",청년 LAB 현장에서 바로 참여 가능한 찾아가는 심리 상담 캠페인,"정책명: 청년 마인드 톡톡 캠페인
내용: 스트레스 측정, 정신건강 선별검사 및 1:1 상담 (용인)",청년 LAB 현장에서 바로 참여 가능한 찾아가는 심리 상담 캠페인
184,20240422005400200006,일자리,청도군 청년 예비창업가 육성,214,"창업공간 및 활동비 1,200만원 지원, 전문가 컨설팅 제공",청도군에서 창업을 준비하는 청년에게 공간과 초기 활동비를 지원,"정책명: 청도군 청년 예비창업가 육성
내용: 창업공간 및 활동비 1,200만원 지원, 전문가 컨설팅 제공",청도군에서 창업을 준비하는 청년에게 공간과 초기 활동비를 지원
185,20250715005400111245,교육,산학일체형 도제학교 지원,189,울산공고 학생 대상 일학습병행 교육과정 및 취업 역량 강화 지원,고교 시절부터 실무와 이론을 병행하여 취업 경쟁력을 높이는 산학 협력,"정책명: 산학일체형 도제학교 지원
내용: 울산공고 학생 대상 일학습병행 교육과정 및 취업 역량 강화 지원",고교 시절부터 실무와 이론을 병행하여 취업 경쟁력을 높이는 산학 협력
186,20240415005400200023,"교육, 일자리",제주 청년 농업인 육성,389,"스마트농업 학교, 멘토·멘티 컨설팅 및 네트워크 활성화 지원",제주 청년들이 미래 농업 경영인으로 성장하도록 기술과 경영 컨설팅 제공,"정책명: 제주 청년 농업인 육성
내용: 스마트농업 학교, 멘토·멘티 컨설팅 및 네트워크 활성화 지원",제주 청년들이 미래 농업 경영인으로 성장하도록 기술과 경영 컨설팅 제공
187,20240419005400200022,복지문화,제주청년희망 사다리 재형저축,664,"5년 만기 시 본인 저축액 포함 최대 3,000만원+이자 수령",중소기업 재직 청년의 장기 근속을 유도하기 위해 지자체와 기업이 매칭 적립,"정책명: 제주청년희망 사다리 재형저축
내용: 5년 만기 시 본인 저축액 포함 최대 3,000만원+이자 수령",중소기업 재직 청년의 장기 근속을 유도하기 위해 지자체와 기업이 매칭 적립
188,20240516005400200001,일자리,창녕군 기업 및 청년센터 견학,273,주요 기업 견학 및 타 지역 청년센터 교류 프로그램 (참가비 무료),창녕 청년들에게 기업 현장 탐방 기회를 제공하여 직업 의식 고취 및 교류,"정책명: 창녕군 기업 및 청년센터 견학
내용: 주요 기업 견학 및 타 지역 청년센터 교류 프로그램 (참가비 무료)",창녕 청년들에게 기업 현장 탐방 기회를 제공하여 직업 의식 고취 및 교류
189,20241111005400100003,복지문화,2025년 1학기 국가장학금 신청,625,소득 수준에 따라 등록금 필수경비 차등 지원 (한국장학재단),대학생들의 등록금 부담 경감을 위해 정부에서 지원하는 보편적 장학금,"정책명: 2025년 1학기 국가장학금 신청
내용: 소득 수준에 따라 등록금 필수경비 차등 지원 (한국장학재단)",대학생들의 등록금 부담 경감을 위해 정부에서 지원하는 보편적 장학금
190,20240924005400200001,일자리,태안군 취업자격증 취득지원,298,1인 연 최대 2회(회당 5만 한도) 자격증 시험 응시료 지원,"취업에 필요한 어학, 한국사, 국가기술자격 응시료를 실비로 보조","정책명: 태안군 취업자격증 취득지원
내용: 1인 연 최대 2회(회당 5만 한도) 자격증 시험 응시료 지원","취업에 필요한 어학, 한국사, 국가기술자격 응시료를 실비로 보조"
191,20241015005400200002,기타,여주시 청년주택 임차보증금 이자지원,345,대출 잔액의 최대 2% 지원 (연 최대 100만원 한도),여주 청년들의 주택 대출 이자 지출액을 직접 계좌로 입금 지원,"정책명: 여주시 청년주택 임차보증금 이자지원
내용: 대출 잔액의 최대 2% 지원 (연 최대 100만원 한도)",여주 청년들의 주택 대출 이자 지출액을 직접 계좌로 입금 지원
192,20240523005400100005,"일자리, 교육",KDB NextONE 스타트업 모집,618,"맞춤형 멘토링, 무상 사무공간 제공 및 투자유치(IR) 컨설팅 지원",산업은행이 보증하는 우수 스타트업 육성 프로그램으로 성장을 집중 지원,"정책명: KDB NextONE 스타트업 모집
내용: 맞춤형 멘토링, 무상 사무공간 제공 및 투자유치(IR) 컨설팅 지원",산업은행이 보증하는 우수 스타트업 육성 프로그램으로 성장을 집중 지원
193,20241108005400100001,교육,사회적기업 전환 아카데미,194,"사회적경제 이해 및 우수 사례 교육 (익산, 교육비 무료)",일반 기업이 사회적 기업으로 전환하거나 신규 설립하도록 돕는 교육,"정책명: 사회적기업 전환 아카데미
내용: 사회적경제 이해 및 우수 사례 교육 (익산, 교육비 무료)",일반 기업이 사회적 기업으로 전환하거나 신규 설립하도록 돕는 교육
194,20251114005400211892,일자리,청년성장프로젝트,272,경북 시군별 맞춤 프로그램 제공 및 정부 고용정책 연계 안내,지역 청년들의 구직 의욕을 높이고 적합한 일자리 정책으로 연결,"정책명: 청년성장프로젝트
내용: 경북 시군별 맞춤 프로그램 제공 및 정부 고용정책 연계 안내",지역 청년들의 구직 의욕을 높이고 적합한 일자리 정책으로 연결
195,20240717005400200016,일자리,소상공인 창업아카데미 등용문,186,"세무관리, 점포 인테리어, 홍보마케팅 등 실무 교육 (안양)",예비 창업 소상공인들에게 필수적인 경영 지식을 2일간 집중 전수,"정책명: 소상공인 창업아카데미 등용문
내용: 세무관리, 점포 인테리어, 홍보마케팅 등 실무 교육 (안양)",예비 창업 소상공인들에게 필수적인 경영 지식을 2일간 집중 전수
196,20240321005400200008,복지문화,은둔고립청년 무료 심리 상담(경기),228,"개인/집단상담(8회기), 방문상담 및 부모상담 무료 지원",경기도 내 은둔 청년과 그 가족의 심리 회복을 돕는 심층 상담 서비스,"정책명: 은둔고립청년 무료 심리 상담(경기)
내용: 개인/집단상담(8회기), 방문상담 및 부모상담 무료 지원",경기도 내 은둔 청년과 그 가족의 심리 회복을 돕는 심층 상담 서비스
197,20251121005400211918,일자리,충북형 도시농부 지원,180,"하루 4시간 근로 시 인건비, 교통비 등 지급 (청년/은퇴자 등)",농촌의 부족한 일손을 돕고 일자리를 창출하는 상생형 근로 지원,"정책명: 충북형 도시농부 지원
내용: 하루 4시간 근로 시 인건비, 교통비 등 지급 (청년/은퇴자 등)",농촌의 부족한 일손을 돕고 일자리를 창출하는 상생형 근로 지원
198,20240521005400200021,복지문화,꿈나래통장 사업,669,저소득 가구 아동 교육비 마련을 위해 저축액의 50~100% 추가 적립,자녀의 미래 교육 자금 마련을 위해 서울시에서 매칭 적립해주는 저축 사업,"정책명: 꿈나래통장 사업
내용: 저소득 가구 아동 교육비 마련을 위해 저축액의 50~100% 추가 적립",자녀의 미래 교육 자금 마련을 위해 서울시에서 매칭 적립해주는 저축 사업
199,20240716005400200010,일자리,울산 남구 소상공인 경영주치의,166,전문가가 매장 방문하여 1:1 컨설팅 제공 및 환경개선 가점 부여,"운영에 어려움을 겪는 소상공인에게 마케팅, 세무 등 전문 솔루션 지원","정책명: 울산 남구 소상공인 경영주치의
내용: 전문가가 매장 방문하여 1:1 컨설팅 제공 및 환경개선 가점 부여","운영에 어려움을 겪는 소상공인에게 마케팅, 세무 등 전문 솔루션 지원"
200,20250610005400110904,참여권리,청년통계 개선,213,청년 연령 기준 상향에 맞춘 정교한 고용 지표 및 통계 데이터 구축,더 정확한 청년 정책 수립을 위해 행정 데이터를 분석하고 공표 방식 개선,"정책명: 청년통계 개선
내용: 청년 연령 기준 상향에 맞춘 정교한 고용 지표 및 통계 데이터 구축",더 정확한 청년 정책 수립을 위해 행정 데이터를 분석하고 공표 방식 개선
